Order	Family	Species	Occurrence	FishBase name	Name	Use	Use_elsewhere
Perciformes	Nemipteridae	Scolopsis bilineata	native 	Two-lined monocle bream 	Aoloumang 	subsistence fisheries 	subsistence fisheries 
Perciformes	Nemipteridae	Scolopsis ciliata	native 	Saw-jawed monocle bream 	Ija putilo ote 	subsistence fisheries 	subsistence fisheries 
Perciformes	Nemipteridae	Scolopsis lineata	native 	Striped monocle bream 	Pasir-pasir 	subsistence fisheries 	minor commercial 
Perciformes	Nemipteridae	Scolopsis margaritifera	native 	Pearly monocle bream 	Sero malam 	subsistence fisheries 	subsistence fisheries 
Perciformes	Nemipteridae	Scolopsis monogramma	native 	Monogrammed monocle bream 	Pasir-pasir 	minor commercial 	minor commercial 
Perciformes	Nemipteridae	Scolopsis taenioptera	native 	Lattice monocle bream 	Pasir-pasir 	commercial 	commercial 
Perciformes	Nemipteridae	Scolopsis temporalis	native 	Bald-spot monocle bream 	Bald-spot spinecheek 	subsistence fisheries 	subsistence fisheries 
Perciformes	Nemipteridae	Scolopsis trilineata	native 	Three-lined monocle bream 	Pasir-pasir 	subsistence fisheries 	subsistence fisheries 
Perciformes	Nemipteridae	Scolopsis vosmeri	native 	Whitecheek monocle bream 	Pasir pasir 	subsistence fisheries 	commercial 
Perciformes	Nemipteridae	Scolopsis xenochrous	native 	Oblique-barred monocle bream 	Blue-stripe spinecheek 	subsistence fisheries 	subsistence fisheries 
Perciformes	Scombridae	Scomber australasicus	native 	Blue mackerel 	 	commercial 	commercial 
Perciformes	Carangidae	Scomberoides commersonnianus	native 	Talang queenfish 	Giant queenfish 	minor commercial 	minor commercial 
Perciformes	Carangidae	Scomberoides lysan	native 	Doublespotted queenfish 	Lima jari 	minor commercial 	minor commercial 
Perciformes	Carangidae	Scomberoides tala	native 	Barred queenfish 	Talang-talang 	minor commercial 	minor commercial 
Perciformes	Carangidae	Scomberoides tol	native 	Needlescaled queenfish 	Talang-talang 	minor commercial 	minor commercial 
Perciformes	Scombridae	Scomberomorus commerson	native 	Narrow-barred Spanish mackerel 	Tangiro 	highly commercial 	highly commercial 
Perciformes	Scombridae	Scomberomorus guttatus	native 	Indo-Pacific king mackerel 	Ajong ajong 	commercial 	highly commercial 
Perciformes	Scombridae	Scomberomorus koreanus	native 	Korean seerfish 	 	minor commercial 	minor commercial 
Perciformes	Scombridae	Scomberomorus lineolatus	native 	Streaked seerfish 	Sanji-sanji 	commercial 	commercial 
Perciformes	Carangidae	Selar boops	native 	Oxeye scad 	Angora 	commercial 	commercial 
Perciformes	Carangidae	Selar crumenophthalmus	native 	Bigeye scad 	Selar bentong 	commercial 	highly commercial 
Perciformes	Carangidae	Selaroides leptolepis	native 	Yellowstripe scad 	Aela 	commercial 	commercial 
Perciformes	Carangidae	Seriola dumerili	native 	Greater amberjack 	 	minor commercial 	minor commercial 
Perciformes	Carangidae	Seriola rivoliana	native 	Longfin yellowtail 	Longfin kingfish 	commercial 	commercial 
Perciformes	Carangidae	Seriolina nigrofasciata	native 	Blackbanded trevally 	Black-banded kingfish 	minor commercial 	minor commercial 
Scorpaeniformes	Setarchidae	Setarches guentheri	native 	Channeled rockfish 	 	commercial 	minor commercial 
Clupeiformes	Engraulidae	Setipinna melanochir	native 	Dusky-hairfin anchovy 	Kempit 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Engraulidae	Setipinna taty	native 	Scaly hairfin anchovy 	Galeberan 	minor commercial 	minor commercial 
Clupeiformes	Engraulidae	Setipinna tenuifilis	native 	Common hairfin anchovy 	 	minor commercial 	minor commercial 
Perciformes	Siganidae	Siganus argenteus	native 	Streamlined spinefoot 	Belowis silah 	commercial 	commercial 
Perciformes	Siganidae	Siganus canaliculatus	native 	White-spotted spinefoot 	Bala uwes 	commercial 	commercial 
Perciformes	Siganidae	Siganus corallinus	native 	Blue-spotted spinefoot 	Indian coral rabbitfish 	commercial 	commercial 
Perciformes	Siganidae	Siganus fuscescens	native 	Mottled spinefoot 	Madar 	commercial 	commercial 
Perciformes	Siganidae	Siganus guttatus	native 	Orange-spotted spinefoot 	Mulia asu 	commercial 	commercial 
Perciformes	Siganidae	Siganus javus	native 	Streaked spinefoot 	Beronang 	commercial 	commercial 
Perciformes	Siganidae	Siganus lineatus	native 	Golden-lined spinefoot 	Masadar karang 	commercial 	commercial 
Perciformes	Siganidae	Siganus puellus	native 	Masked spinefoot 	Borona makuri 	commercial 	minor commercial 
Perciformes	Siganidae	Siganus punctatus	native 	Goldspotted spinefoot 	Ikan baronang 	commercial 	commercial 
Perciformes	Siganidae	Siganus spinus	native 	Little spinefoot 	Belowis kangkang 	minor commercial 	minor commercial 
Perciformes	Siganidae	Siganus vermiculatus	native 	Vermiculated spinefoot 	Beronang tulis 	minor commercial 	commercial 
Perciformes	Siganidae	Siganus virgatus	native 	Barhead spinefoot 	Samadar palsu 	minor commercial 	minor commercial 
Perciformes	Siganidae	Siganus vulpinus	native 	Foxface 	Samadar cecet 	minor commercial 	minor commercial 
Perciformes	Sillaginidae	Sillaginopodys chondropus	native 	Clubfoot sillago 	Besot 	commercial 	commercial 
Perciformes	Sillaginidae	Sillaginops macrolepis	native 	Large-scale sillago 	Besot 	minor commercial 	minor commercial 
Perciformes	Sillaginidae	Sillaginopsis panijus	native 	Flathead sillago 	 	commercial 	commercial 
Perciformes	Sillaginidae	Sillago aeolus	native 	Oriental sillago 	 	minor commercial 	minor commercial 
Perciformes	Sillaginidae	Sillago burrus	native 	Western trumpeter sillago 	 	minor commercial 	minor commercial 
Perciformes	Sillaginidae	Sillago sihama	native 	Silver sillago 	Besot 	commercial 	commercial 
Tetraodontiformes	Tetraodontidae	Sphoeroides pachygaster	native 	Blunthead puffer 	 	commercial 	commercial 
Perciformes	Sphyraenidae	Sphyraena barracuda	native 	Great barracuda 	Alu-alu 	minor commercial 	minor commercial 
Perciformes	Sphyraenidae	Sphyraena forsteri	native 	Bigeye barracuda 	Alu-alu 	commercial 	commercial 
