Order	Family	Species	Occurrence	FishBase name	Name	Ref. No.
Perciformes	Coryphaenidae	Coryphaena hippurus	native 	Common dolphinfish 	Lemadang 	4699 	     
Cypriniformes	Cyprinidae	Ctenopharyngodon idella	introduced 	Grass carp 	Tonggan 	4699 	     
Tetraodontiformes	Diodontidae	Cyclichthys orbicularis	native 	Birdbeak burrfish 	Rounded porcupinefish 	 	     
Scorpaeniformes	Platycephalidae	Cymbacephalus bosschei	native 	Small-eyed flathead 	Banka flathead 	 	     
Cypriniformes	Cyprinidae	Cyprinus carpio	introduced 	Common carp 	Ihan mas 	4699 	     
Beloniformes	Exocoetidae	Cypselurus poecilopterus	native 	Yellowing flyingfish 	Antoni 	30874 	     
Perciformes	Carangidae	Decapterus macarellus	native 	Mackerel scad 	Mackerel scad 	4887 	     
Perciformes	Haemulidae	Diagramma pictum	native 	Painted sweetlips 	Gajih 	4699 	     
Perciformes	Echeneidae	Echeneis naucrates	native 	Live sharksucker 	Ikan tempel 	4699 	     
Perciformes	Carangidae	Elagatis bipinnulata	native 	Rainbow runner 	Cumok 	4699 	     
Elopiformes	Elopidae	Elops hawaiensis	native 	Hawaiian ladyfish 	Bandeng lelaki 	4699 	     
Elopiformes	Elopidae	Elops machnata	native 	Tenpounder 	 	4699 	     
Perciformes	Serranidae	Epinephelus fasciatus	native 	Blacktip grouper 	Geurape bungong kala 	30874 	     
Perciformes	Serranidae	Epinephelus hexagonatus	native 	Starspotted grouper 	 	30874 	     
Perciformes	Serranidae	Epinephelus lanceolatus	native 	Giant grouper 	Kerapu lumpur 	9137 	     
Perciformes	Serranidae	Epinephelus malabaricus	native 	Malabar grouper 	Kerapu lumpar 	4332 	     
Perciformes	Serranidae	Epinephelus merra	native 	Honeycomb grouper 	Geurape musang 	30874 	     
Perciformes	Serranidae	Epinephelus morrhua	native 	Comet grouper 	Kiapu kokoro 	30874 	     
Perciformes	Serranidae	Epinephelus retouti	native 	Red-tipped grouper 	 	30874 	     
Perciformes	Serranidae	Epinephelus spilotoceps	native 	Foursaddle grouper 	 	30874 	     
Perciformes	Serranidae	Epinephelus tauvina	native 	Greasy grouper 	Bababo 	4699 	     
Perciformes	Serranidae	Epinephelus tukula	native 	Potato grouper 	Kiapu buntar tikolo 	5222 	     
Perciformes	Lutjanidae	Etelis carbunculus	native 	Deep-water red snapper 	Langkuabo mira 	4887 	     
Perciformes	Lutjanidae	Etelis coruscans	native 	Deepwater longtail red snapper 	 	4887 	     
Perciformes	Lutjanidae	Etelis radiosus	native 	Pale snapper 	Langkuabo 	30874 	     
Perciformes	Scombridae	Euthynnus affinis	native 	Kawakawa 	Timphik 	4699 	     
Carcharhiniformes	Carcharhinidae	Galeocerdo cuvier	native 	Tiger shark 	Cucut macan 	4699 	     
Cypriniformes	Cyprinidae	Gibelion catla	questionable 	Catla 	 	4832 	     
Perciformes	Carangidae	Gnathanodon speciosus	native 	Golden trevally 	Pidana 	4699 	     
Perciformes	Serranidae	Gracila albomarginata	native 	Masked grouper 	Kiapu bandoka 	30874 	     
Perciformes	Scombridae	Grammatorcynus bilineatus	native 	Double-lined mackerel 	Ande ande 	4537 	     
Perciformes	Lethrinidae	Gymnocranius griseus	native 	Grey large-eye bream 	Kapas-kapas laut 	12484 	     
Perciformes	Scombridae	Gymnosarda unicolor	native 	Dogtooth tuna 	Opu 	4699 	     
Cypriniformes	Cyprinidae	Hampala macrolepidota	native 	Hampala barb 	Adong 	4832 	     
Perciformes	Helostomatidae	Helostoma temminckii	native 	Kissing gourami 	Bawan 	 	     
Perciformes	Labridae	Hemigymnus melapterus	native 	Blackeye thicklip 	Baseparai 	30874 	     
Beloniformes	Hemiramphidae	Hemiramphus far	native 	Black-barred halfbeak 	Balobo kuning 	637 	     
Hexanchiformes	Hexanchidae	Hexanchus griseus	native 	Bluntnose sixgill shark 	Cucut meong 	4699 	     
Myliobatiformes	Dasyatidae	Himantura uarnak	native 	Honeycomb stingray 	Pari pasir 	3263 	     
Perciformes	Labridae	Iniistius pavo	native 	Peacock wrasse 	Ikan kucing 	4887 	     
Perciformes	Istiophoridae	Istiompax indica	native 	Black marlin 	 	4699 	     
Perciformes	Istiophoridae	Istiophorus platypterus	native 	Indo-Pacific sailfish 	Geulang pajang 	4699 	     
Lamniformes	Lamnidae	Isurus oxyrinchus	native 	Shortfin mako 	Hiu anjing 	4699 	     
Perciformes	Istiophoridae	Kajikia audax	native 	Striped marlin 	 	4699 	     
Perciformes	Scombridae	Katsuwonus pelamis	native 	Skipjack tuna 	Ame-ame 	4699 	     
Perciformes	Kuhliidae	Kuhlia rupestris	native 	Rock flagtail 	 	2847 	     
Perciformes	Kurtidae	Kurtus gulliveri	native 	Nurseryfish 	 	2158 	     
Perciformes	Kyphosidae	Kyphosus bigibbus	native 	Brown chub 	Ila silah 	6642 	     
Perciformes	Kyphosidae	Kyphosus vaigiensis	native 	Brassy chub 	Ila batu 	9137 	     
Tetraodontiformes	Tetraodontidae	Lagocephalus lagocephalus	native 	Oceanic puffer 	 	4699 	     
Perciformes	Latidae	Lates calcarifer	native 	Barramundi 	Kakap 	4699 	     
Perciformes	Polynemidae	Leptomelanosoma indicum	native 	Indian threadfin 	Kurau hitam 	9987 	     
Perciformes	Lethrinidae	Lethrinus atkinsoni	native 	Pacific yellowtail emperor 	Kadafo pudu 	171 	     
Perciformes	Lethrinidae	Lethrinus laticaudis	native 	Grass emperor 	 	171 	     
Perciformes	Lethrinidae	Lethrinus nebulosus	native 	Spangled emperor 	Lencam 	4699 	     
Perciformes	Lethrinidae	Lethrinus xanthochilus	native 	Yellowlip emperor 	Ikan pit 	4699 	     
Perciformes	Lobotidae	Lobotes surinamensis	native 	Tripletail 	Kakap bate 	5243 	     
Carcharhiniformes	Carcharhinidae	Loxodon macrorhinus	native 	Sliteye shark 	Cucut pisang 	5578 	     
Perciformes	Lutjanidae	Lutjanus argentimaculatus	native 	Mangrove red snapper 	Ganggrang eca 	6028 	     
Perciformes	Lutjanidae	Lutjanus bohar	native 	Two-spot red snapper 	Jareung gigo 	4699 	     
Perciformes	Lutjanidae	Lutjanus carponotatus	native 	Spanish flag snapper 	Langsuroh alo 	171 	     
Perciformes	Lutjanidae	Lutjanus fulviflamma	native 	Dory snapper 	Ikan tanda 	30874 	     
Perciformes	Lutjanidae	Lutjanus fulvus	native 	Blacktail snapper 	Tambak 	4887 	     
Perciformes	Lutjanidae	Lutjanus gibbus	native 	Humpback red snapper 	Jenaha 	4537 	     
Perciformes	Lutjanidae	Lutjanus goldiei	questionable 	Papuan black snapper 	Papuan black snapper 	55 	     
Perciformes	Lutjanidae	Lutjanus johnii	native 	John's snapper 	Tambangan 	4699 	     
Perciformes	Lutjanidae	Lutjanus kasmira	native 	Common bluestripe snapper 	Gorara tikus 	4887 	     
Perciformes	Lutjanidae	Lutjanus malabaricus	native 	Malabar blood snapper 	Ine 	4699 	     
Perciformes	Lutjanidae	Lutjanus quinquelineatus	native 	Five-lined snapper 	Sala 	171 	     
Perciformes	Lutjanidae	Lutjanus rivulatus	native 	Blubberlip snapper 	Gaga 	12484 	     
Perciformes	Lutjanidae	Lutjanus sebae	native 	Emperor red snapper 	Bambangan 	171 	     
Perciformes	Lutjanidae	Macolor macularis	native 	Midnight snapper 	Sulai asau 	30874 	     
Perciformes	Lutjanidae	Macolor niger	native 	Black and white snapper 	Kompele terbang 	4537 	     
Myliobatiformes	Dasyatidae	Maculabatis gerrardi	native 	Sharpnose stingray 	Pari batu 	5578 	     
Perciformes	Istiophoridae	Makaira mazara	native 	Indo-Pacific blue marlin 	 	43 	     
Elopiformes	Megalopidae	Megalops cyprinoides	native 	Indo-Pacific tarpon 	Bulan-bulan 	10982 	     
Perciformes	Lethrinidae	Monotaxis grandoculis	native 	Humpnose big-eye bream 	Bagangan 	30874 	     
Mugiliformes	Mugilidae	Mugil cephalus	native 	Flathead grey mullet 	Belanak 	7248 	     
Perciformes	Mullidae	Mulloidichthys flavolineatus	native 	Yellowstripe goatfish 	Banguntu janggutan tuba 	4887 	     
Perciformes	Mullidae	Mulloidichthys pfluegeri	native 	Orange goatfish 	 	4887 	     
Perciformes	Mullidae	Mulloidichthys vanicolensis	native 	Yellowfin goatfish 	Banguntu janggutan igabuku 	5213 	     
Anguilliformes	Muraenesocidae	Muraenesox bagio	native 	Common pike conger 	 	12484 	     
Anguilliformes	Muraenesocidae	Muraenesox cinereus	native 	Daggertooth pike conger 	Pucuk nipah 	9987 	     
Perciformes	Acanthuridae	Naso hexacanthus	native 	Sleek unicornfish 	Kumai belowis 	4887 	     
Perciformes	Acanthuridae	Naso unicornis	native 	Bluespine unicornfish 	Kumai tumbo 	4887 	     
Perciformes	Carangidae	Naucrates ductor	native 	Pilotfish 	 	171 	     
Orectolobiformes	Ginglymostomatidae	Nebrius ferrugineus	native 	Tawny nurse shark 	Cucut buta 	247 	     
Siluriformes	Ariidae	Neoarius leptaspis	native 	Salmon catfish 	 	 	     
Cypriniformes	Cyprinidae	Neolissochilus hexagonolepis	native 	Copper mahseer 	 	4537 	     
Siluriformes	Plotosidae	Neosilurus brevidorsalis	native 	Shortfin tandan 	 	4537 	     
Siluriformes	Ariidae	Netuma thalassina	native 	Giant catfish 	Jahan 	9987 	     
Perciformes	Leiognathidae	Nuchequula nuchalis	questionable 	Spotnape ponyfish 	Silver ponyfish 	637 	     
Salmoniformes	Salmonidae	Oncorhynchus mykiss	not established 	Rainbow trout 	 	4699 	     
Perciformes	Cichlidae	Oreochromis mossambicus	introduced 	Mozambique tilapia 	Jahir 	5258 	     
Perciformes	Sciaenidae	Otolithes ruber	native 	Tigertooth croaker 	Gelik 	9987 	     
Perciformes	Cepolidae	Owstonia sibogae	native 	 	 	 	     
Perciformes	Sparidae	Pagrus auratus	native 	Silver seabream 	 	4537 	     
Siluriformes	Pangasiidae	Pangasius pangasius	questionable 	Pangas catfish 	Jambal 	4833 	     
Perciformes	Carangidae	Pantolabus radiatus	native 	Fringefin trevally 	 	4537 	     
Perciformes	Lutjanidae	Paracaesio sordida	native 	Dirty ordure snapper 	Fusilier snapper 	30874 	     
Perciformes	Mullidae	Parupeneus barberinus	native 	Dash-and-dot goatfish 	Biji nangka karang 	5213 	     
Perciformes	Mullidae	Parupeneus ciliatus	native 	Whitesaddle goatfish 	 	4887 	     
Perciformes	Mullidae	Parupeneus cyclostomus	native 	Gold-saddle goatfish 	Ciko-ciko 	30874 	     
Perciformes	Mullidae	Parupeneus indicus	native 	Indian goatfish 	Biji nangka karang 	12484 	     
Perciformes	Mullidae	Parupeneus multifasciatus	native 	Manybar goatfish 	Timbungan tubba 	30874 	     
Perciformes	Mullidae	Parupeneus pleurostigma	native 	Sidespot goatfish 	Timbungan 	4887 	     
Mugiliformes	Mugilidae	Planiliza alata	native 	Diamond mullet 	 	4537 	     
Mugiliformes	Mugilidae	Planiliza macrolepis	native 	Largescale mullet 	 	7248 	     
Perciformes	Ephippidae	Platax teira	native 	Longfin batfish 	Platax jenggot 	12484 	     
Scorpaeniformes	Platycephalidae	Platycephalus indicus	native 	Bartail flathead 	Ikan anjing 	12484 	     
Perciformes	Haemulidae	Plectorhinchus chubbi	native 	Dusky rubberlip 	 	12484 	     
Perciformes	Haemulidae	Plectorhinchus gibbosus	native 	Harry hotlips 	Brown sweetlips 	5213 	     
Perciformes	Haemulidae	Plectorhinchus schotaf	native 	Minstrel sweetlips 	 	5213 	     
