Order	Family	Species	Occurrence	FishBase name	Name	Danger
Perciformes	Acanthuridae	Naso annulatus	native 	Whitemargin unicornfish 	White-margin unicorn 	reports of ciguatera poisoning 
Perciformes	Acanthuridae	Naso brevirostris	native 	Spotted unicornfish 	Kumai 	reports of ciguatera poisoning 
Perciformes	Acanthuridae	Naso lituratus	native 	Orangespine unicornfish 	Naso 	venomous 
Perciformes	Acanthuridae	Naso unicornis	native 	Bluespine unicornfish 	Kumai tumbo 	reports of ciguatera poisoning 
Orectolobiformes	Ginglymostomatidae	Nebrius ferrugineus	native 	Tawny nurse shark 	Cucut buta 	traumatogenic 
Siluriformes	Ariidae	Nedystoma dayi	native 	Day's catfish 	 	traumatogenic 
Siluriformes	Ariidae	Nedystoma novaeguineae	native 	Spoon-snouted catfish 	 	traumatogenic 
Carcharhiniformes	Carcharhinidae	Negaprion acutidens	native 	Sicklefin lemon shark 	Lemon shark 	traumatogenic 
Siluriformes	Ariidae	Nemapteryx bleekeri	questionable 	Bleeker's catfish 	 	traumatogenic 
Siluriformes	Ariidae	Nemapteryx caelata	native 	Engraved catfish 	Duri kerak 	traumatogenic 
Siluriformes	Ariidae	Nemapteryx macronotacantha	native 	 	Manyung pidada 	traumatogenic 
Siluriformes	Ariidae	Neoarius graeffei	native 	Blue salmon catfish 	 	traumatogenic 
Siluriformes	Ariidae	Neoarius latirostris	native 	Broad-snouted catfish 	 	traumatogenic 
Siluriformes	Ariidae	Neoarius leptaspis	native 	Salmon catfish 	 	traumatogenic 
Siluriformes	Ariidae	Neoarius pectoralis	native 	Sawspine catfish 	 	traumatogenic 
Siluriformes	Ariidae	Neoarius utarus	native 	Northern rivers catfish 	 	traumatogenic 
Siluriformes	Ariidae	Neoarius velutinus	native 	Papillate catfish 	Kancur 	traumatogenic 
Beryciformes	Holocentridae	Neoniphon opercularis	native 	Blackfin squirrelfish 	Kakaroe 	venomous 
Beryciformes	Holocentridae	Neoniphon sammara	native 	Sammara squirrelfish 	Kinolu 	venomous 
Siluriformes	Plotosidae	Neosilurus ater	native 	Narrowfront tandan 	 	venomous 
Siluriformes	Plotosidae	Neosilurus brevidorsalis	native 	Shortfin tandan 	 	venomous 
Myliobatiformes	Dasyatidae	Neotrygon kuhlii	misidentification 	Blue-spotted stingray 	Ali 	venomous 
Scorpaeniformes	Tetrarogidae	Neovespicula depressifrons	native 	Leaf goblinfish 	 	venomous 
Siluriformes	Ariidae	Netuma bilineata	native 	Bronze catfish 	 	traumatogenic 
Siluriformes	Ariidae	Netuma thalassina	native 	Giant catfish 	Jahan 	traumatogenic 
Rajiformes	Rajidae	Okamejei boesemani	native 	Boeseman's skate 	 	other 
Salmoniformes	Salmonidae	Oncorhynchus mykiss	not established 	Rainbow trout 	 	potential pest 
Orectolobiformes	Orectolobidae	Orectolobus ornatus	native 	Ornate wobbegong 	 	traumatogenic 
Perciformes	Cichlidae	Oreochromis mossambicus	introduced 	Mozambique tilapia 	Jahir 	potential pest 
Perciformes	Cichlidae	Oreochromis niloticus	introduced 	Nile tilapia 	Nila 	potential pest 
Siluriformes	Ariidae	Osteogeneiosus militaris	native 	Soldier catfish 	Songop 	traumatogenic 
Mugiliformes	Mugilidae	Osteomugil engeli	native 	Kanda 	Sindo 	potential pest 
Tetraodontiformes	Ostraciidae	Ostracion meleagris	native 	Whitespotted boxfish 	Sapi coklat racun 	venomous 
Tetraodontiformes	Ostraciidae	Ostracion rhinorhynchos	native 	Horn-nosed boxfish 	Rhino boxfish 	venomous 
Tetraodontiformes	Ostraciidae	Ostracion solorensis	native 	Reticulate boxfish 	Buntel koper 	venomous 
Perciformes	Labridae	Oxycheilinus unifasciatus	native 	Ringtail maori wrasse 	Lampa terusang 	reports of ciguatera poisoning 
Perciformes	Acanthuridae	Paracanthurus hepatus	native 	Palette surgeonfish 	Leter enam 	venomous 
Scorpaeniformes	Tetrarogidae	Paracentropogon longispinis	native 	Wispy waspfish 	Long-spined waspfish 	venomous 
Perciformes	Gobiidae	Parachaeturichthys polynema	native 	Taileyed goby 	 	poisonous to eat 
